Complexity,Loss,Equation
1,0.00252575,"93.74025"
4,0.0015782056,"111.468315 + log(lg)"
6,0.0015633164,"(-0.00028888183 / sqrt(lg)) + 95.78366"
9,0.0010898333,"((-2.1267078 / log(lg)) + -0.10670817) / sqrt(lg)"
12,0.0010898104,"(((-2.1267078 / log(lg)) + -0.10670817) / sqrt(lg)) - sqrt(lg)"
13,0.0010759828,"((((-2.1907618 / log(lg)) + -0.10992002) / sqrt(lg)) + -4.2460012) - -1.4078131"
15,0.0010707197,"(((lg - lg) + ((-2.231992 / log(lg)) + -0.11199699)) / sqrt(lg)) + -4.597289"
