iter	Passed	Remaining
399	61390	92086
400	61538	91923
401	61696	91776
402	61846	91618
403	62006	91474
404	62171	91338
405	62325	91185
406	62479	91032
407	62638	90886
408	62795	90738
409	62960	90601
410	63113	90446
411	63286	90320
412	63444	90174
413	63595	90016
414	63748	89862
415	63899	89704
416	64052	89550
417	64201	89390
418	64347	89226
419	64503	89076
420	64658	88925
421	64812	88771
422	64962	88612
423	65113	88456
424	65261	88295
425	65420	88149
426	65591	88019
427	65741	87860
428	65891	87701
429	66057	87564
430	66211	87410
431	66377	87273
432	66538	87130
433	66692	86977
434	66841	86817
435	66993	86661
436	67145	86505
437	67312	86368
438	67458	86205
439	67608	86047
440	67770	85904
441	67918	85742
442	68077	85596
443	68221	85430
444	68392	85298
445	68541	85138
446	68705	84998
447	68858	84843
448	69020	84700
449	69174	84546
450	69321	84384
451	69465	84219
452	69618	84064
453	69765	83902
454	69918	83748
455	70083	83608
456	70230	83446
457	70378	83286
458	70524	83123
459	70665	82955
460	70840	82826
461	70993	82671
462	71158	82531
463	71310	82376
464	71458	82216
465	71608	82058
466	71781	81926
467	71938	81776
468	72111	81643
469	72256	81480
470	72402	81318
471	72556	81164
472	72704	81005
473	72854	80847
474	73006	80691
475	73157	80534
476	73311	80381
477	73469	80232
478	73626	80082
479	73777	79925
480	73926	79766
481	74085	79618
482	74265	79493
483	74435	79357
484	74591	79205
485	74741	79047
486	74892	78891
487	75040	78731
488	75213	78597
489	75370	78446
490	75533	78302
491	75680	78141
492	75831	77985
493	75983	77829
494	76142	77680
495	76295	77526
496	76460	77383
497	76630	77246
498	76789	77097
499	76931	76931
500	77095	76787
501	77261	76645
502	77414	76490
503	77565	76334
504	77719	76180
505	77869	76022
506	78027	75873
507	78180	75718
508	78332	75562
509	78492	75414
510	78656	75270
511	78811	75116
512	79347	75325
513	79494	75163
514	79649	75009
515	79794	74845
516	79957	74698
517	80116	74548
518	80286	74408
519	80443	74255
520	80603	74105
521	80763	73955
522	80924	73806
523	81079	73652
524	81235	73498
525	81388	73342
526	81539	73184
527	81689	73025
528	81836	72863
529	81983	72702
530	82152	72560
531	82317	72414
532	82472	72260
533	82629	72107
534	82792	71959
535	82950	71808
536	83110	71657
537	83267	71504
538	83420	71348
539	83582	71199
540	83736	71044
541	83881	70881
542	84040	70730
543	84200	70579
544	84353	70423
545	84507	70267
546	84647	70100
547	84815	69957
548	84976	69807
549	85138	69658
550	85293	69504
551	85450	69351
552	85606	69197
553	85769	69048
554	85916	68887
555	86072	68734
556	86251	68598
557	86400	68439
558	86552	68281
559	86707	68127
560	86862	67972
561	87025	67824
562	87187	67674
563	87345	67522
564	87510	67375
565	87692	67240
566	87844	67084
567	87995	66925
568	88150	66771
569	88312	66621
570	88456	66458
571	88612	66304
572	88756	66141
573	88905	65982
574	89049	65819
575	89193	65656
576	89349	65502
577	89507	65350
578	89682	65209
579	89826	65046
580	89973	64886
581	90119	64724
582	90289	64580
583	90453	64432
584	90612	64280
585	90760	64120
586	90918	63968
587	91069	63810
588	91226	63657
589	91374	63497
590	91530	63343
591	91676	63182
592	91822	63021
593	91975	62865
594	92138	62716
595	92302	62567
596	92464	62417
597	92615	62260
598	92768	62103
599	92927	61951
600	93080	61795
601	93225	61634
602	93400	61492
603	93557	61339
604	93728	61194
605	93877	61035
606	94030	60879
607	94197	60732
608	94372	60590
609	94527	60435
610	94681	60280
611	94829	60120
612	94982	59964
613	95133	59807
614	95292	59654
615	95447	59499
616	95601	59344
617	95753	59187
618	95894	59023
619	96050	58869
620	96206	58715
621	96365	58563
622	96537	58418
623	96688	58261
624	96845	58107
625	96992	57947
