iter	RMSE
0	0.9518650185
1	0.9061645335
2	0.8630275591
3	0.8218991079
4	0.7827807668
5	0.7458982228
6	0.7106070525
7	0.6771672379
8	0.6452504142
9	0.6150756017
10	0.5862528313
11	0.5588193247
12	0.5327970495
13	0.5078168839
14	0.4842883852
15	0.4619486299
16	0.4408100395
17	0.4206092623
18	0.4015906612
19	0.383459744
20	0.366020358
21	0.3497158541
22	0.3339880712
23	0.3192654489
24	0.3048618999
25	0.2916497791
26	0.2788097467
27	0.2667694805
28	0.2552221982
29	0.244177304
30	0.2338631601
31	0.2238343828
32	0.2144725442
33	0.2053499452
34	0.1970732572
35	0.1889639445
36	0.1810749103
37	0.1737702049
38	0.166567608
39	0.1598899707
40	0.1534746107
41	0.147401103
42	0.1417532851
43	0.136165827
44	0.1307971357
45	0.1257334522
46	0.1208713234
47	0.1162960887
48	0.1119840888
49	0.1078717219
50	0.1038508705
51	0.1000935659
52	0.09649136837
53	0.09302927929
54	0.08982110937
55	0.08670544126
56	0.0837208154
57	0.08091276515
58	0.07821088236
59	0.07555695972
60	0.07315890157
61	0.07082643158
62	0.06849630544
63	0.0663659915
64	0.06432070222
65	0.06230012935
66	0.06045941338
67	0.0586375366
68	0.05689611434
69	0.05527564642
70	0.05366184705
71	0.05211026389
72	0.05067867928
73	0.04940543066
74	0.04813356934
75	0.04690521573
76	0.04574320198
77	0.04460121934
78	0.0434717818
79	0.04247884026
80	0.04154014184
81	0.04052740593
82	0.0395663706
83	0.03863330244
84	0.03785018377
85	0.037014346
86	0.03622689996
87	0.03551509052
88	0.03477626715
89	0.03412318941
90	0.03343070845
91	0.03274751373
92	0.03214316178
93	0.03152441868
94	0.03090724522
95	0.03034008377
96	0.02978315719
97	0.02923369132
98	0.02874080332
99	0.02826046681
100	0.02780869738
101	0.0273754601
102	0.0269942821
103	0.02660883355
104	0.02624699906
105	0.02586929378
106	0.02552962552
107	0.02515993986
108	0.02478025706
109	0.02446925522
110	0.02410075814
111	0.02380474328
112	0.02347794664
113	0.02321231609
114	0.02294634912
115	0.02270862311
116	0.02240653975
117	0.02210206108
118	0.02184133235
119	0.02160316421
120	0.02132229289
121	0.021092802
122	0.02082754008
123	0.02060387973
124	0.02038544867
125	0.02016122799
126	0.01992543806
127	0.01973385822
128	0.01951116082
129	0.0193242722
130	0.01913050334
131	0.01891666231
132	0.01873975694
133	0.01847220111
134	0.01828895337
135	0.01809939497
136	0.01792904364
137	0.01776246052
138	0.01759475513
139	0.01744561655
140	0.0173023812
141	0.01714437441
142	0.01697220671
143	0.01680389685
144	0.01666388956
145	0.01651035969
146	0.01632704778
147	0.01617781523
148	0.01602451428
149	0.01590455961
150	0.0157812431
151	0.01566359713
152	0.01551794382
153	0.01541130298
154	0.01524792618
155	0.01513676172
156	0.01501748981
157	0.01489582129
158	0.01478870411
159	0.0146556654
160	0.01456551627
161	0.01447060879
162	0.01437521409
163	0.01428273022
164	0.01417533542
165	0.014052454
166	0.01394312829
167	0.01382751196
168	0.01370708231
169	0.01362700377
170	0.01353734486
171	0.01344857168
172	0.01336761385
173	0.01331062013
174	0.01323834394
175	0.01315496441
176	0.0130727118
177	0.01297583951
178	0.01289917477
179	0.01282508666
180	0.01275858497
181	0.01267550768
182	0.01258887736
183	0.012523698
184	0.0124495952
185	0.01236915171
186	0.01231519192
187	0.01221468295
188	0.01213760221
189	0.0120407163
190	0.01194631742
191	0.01188081916
192	0.01179196419
193	0.01172913399
194	0.01164899641
195	0.01159635548
196	0.01154115003
197	0.01147866189
198	0.0114069873
199	0.01134280506
200	0.01130631831
201	0.01124081541
202	0.01118401006
203	0.01113497106
204	0.01107088318
205	0.01099471546
206	0.01094369074
207	0.01088129912
208	0.0108219286
209	0.01075257993
210	0.01070815027
211	0.01066060801
212	0.01059783116
213	0.01054068932
214	0.01047686817
215	0.01043714652
216	0.01038040738
217	0.01032279162
218	0.01028198457
219	0.01023198588
220	0.01019217156
221	0.01013040598
222	0.01007910119
223	0.0100333111
224	0.009984695976
225	0.009944255083
226	0.009900949233
227	0.00986578809
228	0.009827690666
229	0.00976327056
230	0.009727422166
231	0.009660671886
232	0.009628050003
233	0.009586248402
234	0.009552620045
235	0.009495821261
236	0.009458027425
237	0.009423786588
238	0.00936365886
239	0.009297104601
240	0.009257158223
241	0.009215353099
242	0.009184210832
243	0.009145881554
244	0.009092261682
245	0.009050050352
246	0.00901550344
247	0.008964430769
248	0.008939000689
249	0.008909003891
250	0.008871626568
251	0.008830504617
252	0.008799223372
253	0.008749507106
254	0.008721605083
255	0.008695688886
256	0.008651048155
257	0.008616956923
258	0.008580711589
259	0.008550199521
260	0.008496117262
261	0.008468384594
262	0.008449001562
263	0.008429612316
264	0.008397872556
265	0.008373778253
266	0.008343530925
267	0.008308402501
268	0.008279674658
269	0.008250005219
270	0.008202574987
271	0.008157146648
272	0.008128395447
273	0.008091014947
274	0.008059438848
275	0.008038884928
276	0.008008245357
277	0.007977157895
278	0.007952240481
279	0.007920897419
280	0.00789998708
281	0.007860918856
282	0.007831449689
283	0.007799393246
284	0.007757783888
285	0.007730388417
286	0.007688063675
287	0.007657136833
288	0.007631274569
289	0.007604179594
290	0.007565841796
291	0.007536806462
292	0.007512565548
293	0.007493280528
294	0.007460416148
295	0.007431558738
296	0.007406017317
297	0.007377210072
298	0.007357239257
299	0.007333138015
300	0.007302812518
301	0.007277007497
302	0.007255768993
303	0.007232323756
304	0.007197989348
305	0.00718291962
306	0.007168061853
307	0.007142528395
308	0.007123393389
309	0.007093933102
310	0.007073602362
311	0.007053644346
312	0.007026670168
313	0.007010241837
314	0.00699665416
315	0.006979293291
316	0.006956656876
317	0.00694017546
318	0.006927362797
319	0.006899069131
320	0.006877794847
321	0.006845332841
322	0.00682276081
323	0.006805354314
324	0.006784627561
325	0.0067599616
326	0.006737986587
327	0.006715838652
328	0.006698852588
329	0.006683936578
330	0.006663263473
331	0.006645757241
332	0.006627331697
333	0.006610800328
334	0.006584075115
335	0.006558737383
336	0.006540550689
337	0.006522045922
338	0.006497241293
339	0.006479055204
340	0.006455916831
341	0.006439078324
342	0.006416365984
343	0.006400365875
344	0.00638256873
345	0.006363040685
346	0.006348709897
347	0.006335285238
348	0.006319904289
349	0.00630175649
350	0.006286023482
351	0.006265803142
352	0.006248244508
353	0.006233505482
354	0.006212964083
355	0.006201301574
356	0.006193140028
357	0.006171688421
358	0.006158931937
359	0.006142863554
360	0.006126508201
361	0.006113846656
362	0.006094847089
363	0.006081132422
364	0.006068550447
365	0.006052903922
366	0.006041441056
367	0.006029408328
368	0.006019714993
369	0.006005935764
370	0.005990705445
371	0.00597482912
372	0.005957543454
373	0.00594356146
374	0.005931214894
375	0.005923007583
376	0.00591018741
377	0.005896218519
378	0.005874879257
379	0.005865929729
380	0.005850948478
381	0.005842906683
382	0.005829343715
383	0.005812539787
384	0.005793971711
385	0.005776257242
386	0.005761515906
387	0.005749554399
388	0.005739548887
389	0.005724127394
390	0.0057094116
391	0.005696965777
392	0.005684204818
393	0.005669174344
394	0.00566063744
395	0.00564277233
396	0.005631714882
397	0.005615647134
398	0.005599684015
399	0.005589038023
400	0.005578332046
401	0.005569275241
402	0.005559524453
403	0.00554432662
404	0.005529276574
405	0.005519883635
406	0.005505981499
407	0.005491222831
408	0.005481932199
409	0.005467865477
410	0.005452842053
411	0.005436044547
412	0.005424577935
413	0.005410790186
414	0.005403164987
415	0.005389499232
416	0.005381810137
417	0.005369623913
418	0.005357308561
419	0.005341826137
420	0.005331831872
421	0.005322639184
422	0.005313533337
423	0.00530371411
424	0.005288239149
425	0.005277828344
426	0.005265131437
427	0.005256600809
428	0.005248403723
429	0.005234738955
430	0.005225444435
431	0.005218467379
432	0.005207290141
433	0.005198013328
434	0.005183729832
435	0.005175071167
436	0.005163323458
437	0.005149910489
438	0.005141076823
439	0.005128406175
440	0.005118300404
441	0.005110150368
