Complexity,Loss,Equation
1,0.24703209,"93.74024"
5,0.24703085,"93.739174 - (tempu * -2.3629473e-5)"
7,0.24702068,"93.74336 + (tempu * (tempu * -7.3290795e-7))"
8,0.24700859,"(exp(tempu * -0.06357959) * -0.0018397796) + 93.74251"
9,0.24630862,"(-0.016725011 / ((tempu + -79.12991) * tempu)) + 93.74032"
12,0.24627174,"(-0.016725011 / ((tempu - log(1.3898902)) * (tempu + -79.12991))) + 93.74032"
13,0.24626653,"(-0.016725011 / (((-0.43640754 / -1.4506571) + tempu) * (-79.12991 + tempu))) + 93.74032"
